sub_grade,good_pct,default_pct,loan_amount,fico_low,annual_income,interest_rate,DTI,description,credit_history,return_low_range,return_high_range,default_ret_low,good_ret_low,default_ret_high,good_ret_high
A1,0.9698210284639429,0.030178971536057086,14536.705070399159,743.7608918148876,101732.76947774611,0.05469454233633268,0.05469454233633268,0.005615335675361677,14.599026029708668,0.019801256739170336,0.031038894666581295,-0.11475515556791138,0.023988394383979917,-0.1141389102094646,0.0355565496899631
A2,0.9507407137123257,0.049259286287674287,13955.717726045392,728.8425892140407,91831.55356564256,0.06496336933520042,0.06496336933520042,0.011019484784353792,15.712078376997749,0.02166875272703912,0.03536651490916192,-0.10805905360575743,0.028390142754260418,-0.10758257392206125,0.042772919189256804
A3,0.9441443469127466,0.055855653087253376,14144.122777402656,720.2378272938705,90577.84922649861,0.07060871033085456,0.07060871033085456,0.017480681221396954,16.466490734488705,0.023058141235809525,0.03792251866836458,-0.11045100138005905,0.030956552509798466,-0.11014590646650296,0.04668225822996062
A4,0.922821873087125,0.07717812691287496,14687.432411752703,714.2320444807182,89734.34503137118,0.07443391909813361,0.07443391909813361,0.01851662925933483,16.37203427871867,0.02262171634400137,0.03828922751233018,-0.09630067870259827,0.03256752275080629,-0.09598082918702307,0.04951860100114314
A5,0.8987797122187773,0.10122028778122272,14830.036668256618,709.7453096430559,87087.89795452738,0.0809806383655376,0.0809806383655376,0.01766833611574847,16.75125506797045,0.02332179070959796,0.040658945207448074,-0.08335214505937945,0.03533537571880556,-0.08181726530546148,0.05445217741544511
B1,0.8721377059535717,0.12786229404642835,13800.348739274623,700.6768612587953,83799.92819094246,0.08558044603534189,0.08558044603534189,0.015598954220841888,17.07733782527069,0.02214468287303348,0.04069957714743332,-0.07959502342813826,0.03706052948128737,-0.07903470638480138,0.058253571274654484
B2,0.8649310658548534,0.13506893414514665,13669.353173770032,696.8091713905802,80870.41960511579,0.09545767898384737,0.09545767898384737,0.016568689201483657,17.431262509622826,0.024304437004424438,0.04537565156775361,-0.08366493226343348,0.041165095851172714,-0.08299888648221733,0.0654228122147679
B3,0.8434596027325939,0.1565403972674061,14363.195178517899,696.2745531136109,80228.0658484137,0.10361474843417678,0.10361474843417678,0.017686130350409415,17.785491851126938,0.025385899683097055,0.04851351911662315,-0.07790280218829013,0.04455558412536212,-0.07707006949542256,0.0718209837395957
B4,0.8238375025965162,0.17616249740348378,13981.372592658536,693.9910679842131,77179.45134291818,0.11168657230192965,0.11168657230192965,0.015430724947327813,17.983740467076153,0.025775906520955134,0.050904300616190994,-0.07672393946676491,0.04769361334512851,-0.07587174493665264,0.07801302621455092
B5,0.8249904358317883,0.17500956416821167,13062.79317854095,689.1157558635708,74074.2383009624,0.11730116829982026,0.11730116829982026,0.015920661546158146,18.3111902239486,0.02529490062868818,0.05141140007415579,-0.09262694756430366,0.050310283064436634,-0.09164465065437692,0.08175863320829946
C1,0.786709358499045,0.213290641500955,13873.327786203798,688.7873553533311,74761.16537987308,0.12483729777545781,0.12483729777545781,0.012414335467924953,18.70863021008869,0.024167336435831088,0.052559683896309876,-0.08129734536410349,0.052760652879555024,-0.08022262437419864,0.08855928578871353
C2,0.7647335947235646,0.2352664052764354,14269.564374943011,687.8391234308988,74270.03404425406,0.13104561411507742,0.13104561411507742,0.012719978116166682,19.126995684021878,0.02298612486400202,0.05305272285407613,-0.08076529788318118,0.05490472297511033,-0.07949305227201671,0.09382975718819238
